"","Var1","Freq"
"1","광주광역시 광산구 계안길",1
"2","광주광역시 광산구 고봉로",33
"3","광주광역시 광산구 고봉로16번길",1
"4","광주광역시 광산구 고봉로175번길",2
"5","광주광역시 광산구 고봉로258번길",1
"6","광주광역시 광산구 광곡길",1
"7","광주광역시 광산구 광산로",72
"8","광주광역시 광산구 광산로19번길",9
"9","광주광역시 광산구 광산로20번길",8
"10","광주광역시 광산구 광산로29번길",14
"11","광주광역시 광산구 광산로30번길",35
"12","광주광역시 광산구 광산로45번길",4
"13","광주광역시 광산구 광산로56번길",8
"14","광주광역시 광산구 광산로67번길",4
"15","광주광역시 광산구 광산로89번길",4
"16","광주광역시 광산구 구촌반촌길",1
"17","광주광역시 광산구 금봉로",42
"18","광주광역시 광산구 금봉로59번길",1
"19","광주광역시 광산구 금봉로64번길",1
"20","광주광역시 광산구 남동길",15
"21","광주광역시 광산구 남동길30번길",28
"22","광주광역시 광산구 남동길48번길",21
"23","광주광역시 광산구 내동송동길",1
"24","광주광역시 광산구 내상로",32
"25","광주광역시 광산구 내상로15번길",5
"26","광주광역시 광산구 내상로33번길",11
"27","광주광역시 광산구 노안삼도로",1
"28","광주광역시 광산구 도산로",28
"29","광주광역시 광산구 도산로9번길",23
"30","광주광역시 광산구 도산신송길",5
"31","광주광역시 광산구 도천남길",1
"32","광주광역시 광산구 동곡로",21
"33","광주광역시 광산구 동곡로185번길",9
"34","광주광역시 광산구 목련로",102
"35","광주광역시 광산구 목련로142번길",2
"36","광주광역시 광산구 목련로153번길",43
"37","광주광역시 광산구 목련로153번안길",35
"38","광주광역시 광산구 목련로217번길",4
"39","광주광역시 광산구 목련로219번길",28
"40","광주광역시 광산구 목련로21번길",8
"41","광주광역시 광산구 목련로253번길",5
"42","광주광역시 광산구 목련로273번길",24
"43","광주광역시 광산구 목련로273번안길",25
"44","광주광역시 광산구 목련로2번길",1
"45","광주광역시 광산구 목련로381번길",3
"46","광주광역시 광산구 목련로382번길",16
"47","광주광역시 광산구 목련로382번안길",2
"48","광주광역시 광산구 목련로394번길",32
"49","광주광역시 광산구 목련로397번길",1
"50","광주광역시 광산구 목련로397번안길",6
"51","광주광역시 광산구 무진대로",17
"52","광주광역시 광산구 무진대로211번길",13
"53","광주광역시 광산구 무진대로212번길",13
"54","광주광역시 광산구 무진대로231번길",38
"55","광주광역시 광산구 무진대로232번길",1
"56","광주광역시 광산구 박호등임로",4
"57","광주광역시 광산구 반월안길",1
"58","광주광역시 광산구 복영길",4
"59","광주광역시 광산구 본량동서로",1
"60","광주광역시 광산구 본안길",3
"61","광주광역시 광산구 북문대로",7
"62","광주광역시 광산구 북문대로419번길",23
"63","광주광역시 광산구 북문대로420번길",4
"64","광주광역시 광산구 북문대로433번길",4
"65","광주광역시 광산구 비아동원촌길",10
"66","광주광역시 광산구 비아로",18
"67","광주광역시 광산구 비아로127번길",1
"68","광주광역시 광산구 비아로12번길",10
"69","광주광역시 광산구 비아로135번길",1
"70","광주광역시 광산구 비아로24번길",6
"71","광주광역시 광산구 비아로34번길",10
"72","광주광역시 광산구 비아로45번길",16
"73","광주광역시 광산구 비아로62번길",2
"74","광주광역시 광산구 비아안길",24
"75","광주광역시 광산구 비아중앙로",23
"76","광주광역시 광산구 비아중앙로31번길",3
"77","광주광역시 광산구 사암로",91
"78","광주광역시 광산구 사암로106번길",25
"79","광주광역시 광산구 사암로118번길",7
"80","광주광역시 광산구 사암로130번길",9
"81","광주광역시 광산구 사암로158번길",3
"82","광주광역시 광산구 사암로171번길",9
"83","광주광역시 광산구 사암로172번길",4
"84","광주광역시 광산구 사암로215번길",21
"85","광주광역시 광산구 사암로216번길",56
"86","광주광역시 광산구 사암로24번길",5
"87","광주광역시 광산구 사암로279번길",9
"88","광주광역시 광산구 사암로27번길",3
"89","광주광역시 광산구 사암로339번길",5
"90","광주광역시 광산구 사암로340번길",15
"91","광주광역시 광산구 사암로340번안길",8
"92","광주광역시 광산구 사암로383번길",6
"93","광주광역시 광산구 사암로390번길",30
"94","광주광역시 광산구 사암로69번길",1
"95","광주광역시 광산구 사암로92번길",14
"96","광주광역시 광산구 산월로",25
"97","광주광역시 광산구 산월로21번길",4
"98","광주광역시 광산구 산월로3번길",1
"99","광주광역시 광산구 산월로41번길",11
"100","광주광역시 광산구 산월로9번길",3
"101","광주광역시 광산구 산정공원로",42
"102","광주광역시 광산구 산정공원로10번길",1
"103","광주광역시 광산구 산정공원로28번길",3
"104","광주광역시 광산구 산정공원로2번길",5
"105","광주광역시 광산구 산정공원로42번길",1
"106","광주광역시 광산구 산정공원로50번길",5
"107","광주광역시 광산구 산정공원로59번길",3
"108","광주광역시 광산구 산정공원로60번길",5
"109","광주광역시 광산구 산정공원로71번길",7
"110","광주광역시 광산구 산정공원로72번길",1
"111","광주광역시 광산구 산정공원로81번길",2
"112","광주광역시 광산구 산정공원로82번길",11
"113","광주광역시 광산구 산정로",37
"114","광주광역시 광산구 산정로29번길",1
"115","광주광역시 광산구 산정로37번길",2
